date&time,raw_yaw,filter_yaw,smooth_yaw,raw_pitch,filter_pitch,smooth_pitch,
05-07-2020 21:59,-13,-13,-13,0,0,0, 
05-07-2020 21:59,-13,-13,-13,0,0,0, 
05-07-2020 21:59,-13,-13,-13,0,0,0, 
05-07-2020 21:59,-13,-13,-13,0,0,0, 
05-07-2020 21:59,-13,-13,-13,0,0,0, 
05-07-2020 21:59,-13,-13,-13,-13,-13,-13, 
05-07-2020 21:59,-13,-13,-13,-13,-13,-13, 
05-07-2020 21:59,-13,-13,-13,-13,-13,-13, 
05-07-2020 21:59,-13,-13,-13,-13,-13,-13, 
05-07-2020 21:59,-13,-13,-13,-13,-13,-13, 
05-07-2020 21:59,-13,-13,-13,-13,-13,-13, 
05-07-2020 21:59,-13,-13,-13,-13,-13,-13, 
05-07-2020 21:59,-13,-13,-13,-13,-13,-13, 
05-07-2020 21:59,-13,-13,-13,-13,-13,-13, 
05-07-2020 21:59,-11,-11,-11,-13,-13,-13, 
05-07-2020 21:59,1,1,1,-13,-13,-13, 
05-07-2020 21:59,1,1,1,-13,-13,-13, 
05-07-2020 21:59,0,0,0,-13,-13,-13, 
05-07-2020 21:59,0,0,1.39E-17,-13,-13,-13, 
05-07-2020 21:59,0,0,0,-13,-13,-13, 
05-07-2020 21:59,0,0,-6.94E-18,-13,-13,-13, 
05-07-2020 21:59,0,0,8.67E-19,-11,-11,-11, 
05-07-2020 21:59,0,0,0,0,0,0, 
05-07-2020 21:59,0,0,0,0,0,0, 
05-07-2020 21:59,0,0,0,0,0,-2.22E-16, 
05-07-2020 21:59,-3,-3,-3,0,0,-5.55E-17, 
05-07-2020 21:59,-4,-4,-4,0,0,-6.94E-18, 
05-07-2020 21:59,-5,-5,-5,0,0,0, 
05-07-2020 21:59,-6,-6,-6,0,0,0, 
05-07-2020 21:59,-7,-7,-7,0,0,0, 
05-07-2020 21:59,-8,-8,-8,0,0,0, 
05-07-2020 21:59,-9,-9,-9,0,0,0, 
05-07-2020 21:59,-9,-9,-9,-9,-9,-9, 
05-07-2020 21:59,-10,-10,-10,-10,-10,-10, 
05-07-2020 21:59,-12,-12,-12,-12,-12,-12, 
05-07-2020 21:59,-12,-12,-12,-12,-12,-12, 
